filename,xmin,ymin,width,height,label
benign (1).png,0,0,562,471,benign
benign (1).png,288,134,51,26,benign
benign (10).png,0,0,683,585,benign
benign (10).png,24,67,209,197,benign
benign (100).png,0,0,323,473,benign
benign (100).png,198,126,101,96,benign
benign (100)_1.png,28,107,71,51,benign
benign (101).png,0,0,563,473,benign
benign (101).png,438,172,99,51,benign
benign (102).png,0,0,634,610,benign
benign (102).png,264,53,186,125,benign
benign (103).png,0,0,766,585,benign
benign (103).png,27,157,342,188,benign
benign (104).png,0,0,777,578,benign
benign (104).png,603,60,89,54,benign
benign (105).png,0,0,882,581,benign
benign (105).png,420,155,129,90,benign
benign (106).png,0,0,808,716,benign
benign (106).png,226,174,131,112,benign
benign (107).png,0,0,759,616,benign
benign (107).png,373,232,130,96,benign
benign (108).png,0,0,769,582,benign
benign (108).png,546,99,193,108,benign
benign (109).png,0,0,562,470,benign
benign (109).png,53,87,221,165,benign
benign (11).png,0,0,689,587,benign
benign (11).png,367,132,72,38,benign
benign (110).png,0,0,555,468,benign
benign (110).png,79,31,312,143,benign
benign (111).png,0,0,315,477,benign
benign (111).png,167,145,64,45,benign
benign (112).png,0,0,652,612,benign
benign (112).png,170,109,100,65,benign
benign (113).png,0,0,810,695,benign
benign (113).png,380,157,243,121,benign
benign (114).png,0,0,757,575,benign
benign (114).png,199,92,221,146,benign
benign (115).png,0,0,554,469,benign
benign (115).png,278,170,98,54,benign
benign (116).png,0,0,766,588,benign
benign (116).png,94,53,106,66,benign
benign (117).png,0,0,806,688,benign
benign (117).png,587,124,146,128,benign
benign (118).png,0,0,653,620,benign
benign (118).png,224,94,98,81,benign
benign (119).png,0,0,762,585,benign
benign (119).png,165,226,110,58,benign
benign (12).png,0,0,678,571,benign
benign (12).png,343,178,78,44,benign
benign (120).png,0,0,808,695,benign
benign (120).png,71,165,56,42,benign
benign (121).png,0,0,646,610,benign
benign (121).png,256,46,177,122,benign
benign (122).png,0,0,774,577,benign
benign (122).png,152,150,149,130,benign
benign (123).png,0,0,648,610,benign
benign (123).png,292,115,221,136,benign
benign (124).png,0,0,645,614,benign
benign (124).png,216,201,155,58,benign
benign (125).png,0,0,756,578,benign
benign (125).png,219,162,92,78,benign
benign (126).png,0,0,771,570,benign
benign (126).png,244,150,103,79,benign
benign (127).png,0,0,558,476,benign
benign (127).png,183,68,74,76,benign
benign (128).png,0,0,549,475,benign
benign (128).png,175,48,67,73,benign
benign (129).png,0,0,775,587,benign
benign (129).png,187,161,137,64,benign
benign (13).png,0,0,678,571,benign
benign (13).png,182,107,355,198,benign
benign (130).png,0,0,558,474,benign
benign (130).png,41,62,186,106,benign
benign (131).png,0,0,587,435,benign
benign (131).png,13,49,321,261,benign
benign (132).png,0,0,552,483,benign
benign (132).png,293,68,104,80,benign
benign (133).png,0,0,369,342,benign
benign (133).png,181,100,50,29,benign
benign (134).png,0,0,378,345,benign
benign (134).png,221,59,58,26,benign
benign (135).png,0,0,776,582,benign
benign (135).png,203,60,133,105,benign
benign (136).png,0,0,886,581,benign
benign (136).png,170,157,183,108,benign
benign (137).png,0,0,777,578,benign
benign (137).png,126,191,104,74,benign
benign (138).png,0,0,766,600,benign
benign (138).png,414,79,70,36,benign
benign (139).png,0,0,563,468,benign
benign (139).png,304,51,145,93,benign
benign (14).png,0,0,699,531,benign
benign (14).png,511,149,111,54,benign
benign (140).png,0,0,452,591,benign
benign (140).png,95,174,299,214,benign
benign (141).png,0,0,567,471,benign
benign (141).png,44,35,522,346,benign
benign (142).png,0,0,785,582,benign
benign (142).png,289,124,81,66,benign
benign (143).png,0,0,554,467,benign
benign (143).png,261,126,57,31,benign
benign (144).png,0,0,770,580,benign
